recorded_at,market_id,question,entry_p,current_p,marked_at,end_date,category,strategy,status,outcome,pnl
2026-07-25,665374,Will the U.S. invade Iran before 2027?,0.27,0.1550,2026-09-03,2026-12-31,geopolitics,POL_CHEAP_YES,pending,,
2026-07-25,559652,Will Gavin Newsom win the 2028 Democratic presidential nomin,0.198,0.1415,2026-09-03,2028-11-07,politics,POL_CHEAP_YES,pending,,
2026-07-25,561230,Will Gavin Newsom win the 2028 US Presidential Election?,0.126,0.0855,2026-09-03,2028-11-07,politics,POL_CHEAP_YES,pending,,
2026-07-25,561229,Will JD Vance win the 2028 US Presidential Election?,0.202,0.2535,2026-09-03,2028-11-07,politics,POL_CHEAP_YES,pending,,
2026-07-25,559653,Will Alexandria Ocasio-Cortez win the 2028 Democratic presid,0.145,0.1995,2026-09-03,2028-11-07,other,POL_CHEAP_YES,pending,,
2026-07-25,559661,Will Jon Ossoff win the 2028 Democratic presidential nominat,0.158,0.1585,2026-09-03,2028-11-07,politics,POL_CHEAP_YES,pending,,
2026-07-25,561234,Will Marco Rubio win the 2028 US Presidential Election?,0.125,0.1025,2026-09-03,2028-11-07,politics,POL_CHEAP_YES,pending,,
2026-07-25,561975,Will Marco Rubio win the 2028 Republican presidential nomina,0.27,0.1745,2026-09-03,2028-11-07,politics,POL_CHEAP_YES,pending,,
2026-07-25,601825,Will Renan Santos win the 2026 Brazilian presidential electi,0.105,0.0155,2026-09-03,2026-10-04,politics,POL_CHEAP_YES,pending,,
2026-07-25,601826,Will Flavio Bolsonaro win the 2026 Brazilian presidential el,0.228,0.4325,2026-09-03,2026-10-04,politics,POL_CHEAP_YES,pending,,
2026-07-25,562803,Will the Republican Party control the House after the 2026,0.15,0.1150,2026-09-03,2026-11-03,politics,POL_CHEAP_YES,pending,,
2026-07-25,562804,(scan15),0.35,0.35,2026-07-25,2026-11-03,other,POL_CHEAP_YES,pending,,
2026-07-25,562805,(scan16),0.2,0.2,2026-07-25,2026-11-03,other,POL_CHEAP_YES,pending,,
2026-07-25,601827,(scan17),0.3,0.0020,2026-09-03,2026-10-04,other,POL_CHEAP_YES,pending,,
2026-07-25,601828,(scan18),0.12,0.0000,2026-08-29,2026-10-04,other,POL_CHEAP_YES,settled,NO,-0.1200
2026-07-25,2555351,Israel closes its airspace by July 31?,0.13,0.0000,2026-07-25,2026-07-31,geopolitics,POL_CHEAP_YES,settled,NO,-1
2026-07-25,2374271,Will Ukraine recapture Crimean territory by December 31 202,0.1,0.0550,2026-09-03,2026-12-31,geopolitics,POL_CHEAP_YES,pending,,
2026-07-25,789953,Will AfD win the most seats in the 2026 Berlin state electio,0.213,0.0955,2026-09-03,2026-09-20,other,POL_CHEAP_YES,pending,,
2026-07-25,1633611,Will China invade Taiwan by December 31 2027?,0.11,0.1150,2026-09-03,2027-12-31,geopolitics,POL_CHEAP_YES,pending,,
